CSA,CSA_name,CSA_short,TotalPop00,TotalHousing00,TotalPOP17,TotalHousing17,Total_emp00,Total_emp17,Pop_NET00-17,Pop_%00-17,hu_NET00-17,hu_%00-17,emp_NET00-17,emp_%00-17
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",Atlanta,4778990,1853158,6555956,2565044,2413348,2844759,1776966,0.3718287755362535,711886,0.38414749309017365,431411,0.17876037769936204
148,"Boston-Worcester-Providence, MA-RI-NH-CT",Boston,7630016,3135867,8233270,3482074,3834847,4120001,603254,0.07906326801935933,346207,0.11040232254748049,285154,0.0743586380369282
176,"Chicago-Naperville, IL-IN-WI",Chicago,4088612,1516964,4690448,1813562,1846953,2058285,601836,0.1471981200466075,296598,0.19552079020991928,211332,0.11442196958991377
206,"Dallas-Fort Worth, TX-OK",Dallas,5565005,2180002,7811847,2979956,2844521,3584626,2246842,0.4037448304179421,799954,0.3669510394944592,740105,0.26018616139589057
216,"Denver-Aurora, CO",Denver,2629980,1068646,3447033,1390357,1426753,1692056,817053,0.3106689024251135,321711,0.30104543506455833,265303,0.18594879422016283
220,"Detroit-Warren-Ann Arbor, MI",Detroit,5456428,2208124,5336286,2356800,2531382,2312528,-120142,-0.022018434037799087,148676,0.06733136363718704,-218854,-0.08645633096861714
288,"Houston-The Woodlands, TX",Houston,4878216,1865805,7093190,2686600,2271793,2968025,2214974,0.4540541050252797,820795,0.43991467489903824,696232,0.30646806289129336
348,"Los Angeles-Long Beach, CA",Los Angeles,12365627,4240393,13353907,4644752,5505519,5989256,988280,0.07992154380849431,404359,0.09535884999338505,483737,0.08786401427367702
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",Miami,5475847,2379888,6828241,2854735,2254815,2720504,1352394,0.2469743950114019,474847,0.1995249356272228,465689,0.20653091273563462
378,"Minneapolis-St. Paul, MN-WI",Minneapolis,3335000,1312902,3946533,1590957,1878800,2063585,611533,0.18336821589205396,278055,0.21178656137320226,184785,0.09835267191824569
408,"New York-Newark, NY-NJ-CT-PA",New York,21491898,8341615,22994151,9099185,9482723,10420967,1502253,0.06989857294130095,757570,0.09081814492757098,938244,0.09894246620933671
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Philadelphia,6688798,2740528,7206807,3010511,3068950,3219678,518009,0.07744425829573565,269983,0.0985149577015816,150728,0.049113866306065596
488,"San Jose-San Francisco-Oakland, CA",San Francisco,7656194,2856934,8837789,3271034,3863329,4233345,1181595,0.15433190433784724,414100,0.14494559552303274,370016,0.09577646635841783
500,"Seattle-Tacoma, WA",Seattle,3775744,1564957,4764736,1984377,1864356,2249725,988992,0.26193301240762085,419420,0.2680073637806023,385369,0.20670354803481739
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Washington,7981257,3204298,9764315,3832744,4096584,4731047,1783058,0.22340566153927885,628446,0.19612595332893507,634463,0.15487611141380234
